PM2.5 measurements at country level;;;;;;;;;;;
PM2.5: percentage of population and exceedances. Results are shown at country level  (including EU28 and EEA33 aggregates).;;;;;;;;;;;
;;;;;;;;;;;
tot_pop_exc: sum of total population assigned to each stations for stations having above_TV?=1;;;;;;;;;;;
nb_of_station_exc: count of stations having above_TV?=1;;;;;;;;;;;
tot_pop_no_exc: sum of total population assigned to each stations for stations having above_TV?=0;;;;;;;;;;;
nb_of_station_no_exc: count of stations having above_TV?=0;;;;;;;;;;;
percentage_pop_exc=(tot_pop_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
percentage_pop_no_exc=(tot_pop_no_exc)/(tot_pop_exc+tot_pop_no_exc)*100;;;;;;;;;;;
Note: one station (station_european_code) can be counted several times if the same station shows several concentration statistics for the same year (distinct measurements recorded under different measurement_european_group_code);;;;;;;;;;;
;;;;;;;;;;;
country_iso_code;country_name;component_caption;component_name;statistics_year;tot_pop_exc;nb_of_station_exc;tot_pop_no_exc;nb_of_station_no_exc;percentage_pop_exc;percentage_pop_no_exc;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;13274973,6835;61;81894055,5345;424;13,9488379702724;86,0511620297276;
EU28;EU28;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;10832619,268;47;87896677,691;464;10,9720413308509;89,0279586691491;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;0;0;522438,15;1;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;0;0;548086,896;3;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;0;0;548086,896;4;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;548086,896;3;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;548086,896;3;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;548086,896;3;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;637974,252;4;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;637974,252;4;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;828173,196;6;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;855118,16;11;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;855118,16;11;0;100;
FI;Finland;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;855118,16;10;0;100;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;382127,998;1;2245635,474;6;14,5419480128918;85,4580519871082;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;475516,132;2;7005691,506;20;6,35614134788435;93,6438586521157;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;93388,134;1;8186119,946;22;1,12794302629632;98,8720569737037;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;93388,134;1;8234528,862;26;1,12138646488498;98,878613535115;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;98008,806;2;8933055,412;29;1,08524093765889;98,9147590623411;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;93388,134;1;10418781,716;38;0,888381136649918;99,1116188633501;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;9581350,57;33;0;100;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;93388,134;1;3772501,758;8;2,41569565116833;97,5843043488317;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;52257,24;1;12484397,8;53;0,416835589982063;99,5831644100179;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;13687565,166;57;0;100;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;205507,85;3;13894766,042;64;1,45747417088542;98,5425258291146;
FR;France;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;16630592,552;73;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);1998;0;0;431532,412;1;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);1999;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2000;431532,412;1;7008681,588;1;5,8;94,2;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2001;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2002;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;7440214;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;7453335,862;3;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;7021803,45;2;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;15926479,866;41;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;14135370,154;43;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;15660122,608;48;0;100;
GB;United Kingdom;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;14599234,212;50;0;100;
GR;Greece;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;30037,28;1;0;100;
GR;Greece;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;30037,28;1;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;7664,055;1;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;7664,055;1;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;13701,158;2;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;13701,158;2;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;7664,055;1;6037,103;1;55,9372791701256;44,0627208298744;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;1749707,877;4;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;1749707,877;4;0;100;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;1613594,822;1;128449;2;92,6265345120578;7,37346548794224;
HU;Hungary;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;1897444,767;4;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;5552,68;1;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;5552,68;1;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;5552,68;1;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;5552,68;1;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;501722,68;4;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;496170;3;0;100;
IE;Ireland;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;501722,68;3;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;0;0;191800;2;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;0;0;191800;2;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;0;0;191800;2;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;0;0;1342,6;1;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;191800;3;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;190457,4;2;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;191800;3;0;100;
IS;Iceland;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;0;0;191800;3;0;100;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2003;0;0;4819,248;1;0;100;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2004;1303696;2;4819,248;2;99,6317010438078;0,368298956192217;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2005;63881,104;1;4819,248;1;92,9851189117634;7,01488108823664;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2006;2194732,722;3;2422322,3;4;47,5353382522458;52,4646617477542;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;1105220,972;5;2646221,165;7;29,4612293522895;70,5387706477105;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;2252547,159;3;3336793,641;17;40,3007660402457;59,6992339597543;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;2773894,113;7;4183512,103;27;39,86965870443;60,13034129557;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;1556549,809;7;6215746,679;34;20,0268969590034;79,9731030409966;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;3648281,9815;15;5396223,7795;40;40,3369966021961;59,6630033978039;
IT;Italy;PM2.5;Particulate matter < 2.5 µm (aerosol);2012;3292148,926;12;6786139,114;51;32,6657554629685;67,3342445370315;
LT;Lithuania;PM2.5;Particulate matter < 2.5 µm (aerosol);2007;0;0;24814,516;3;0;100;
LT;Lithuania;PM2.5;Particulate matter < 2.5 µm (aerosol);2008;0;0;16565,612;2;0;100;
LT;Lithuania;PM2.5;Particulate matter < 2.5 µm (aerosol);2009;0;0;24814,516;3;0;100;
LT;Lithuania;PM2.5;Particulate matter < 2.5 µm (aerosol);2010;0;0;24814,516;3;0;100;
LT;Lithuania;PM2.5;Particulate matter < 2.5 µm (aerosol);2011;0;0;24814,516;3;0;100;
